clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,AverageOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,AverageOfLowerTRange,RainingDays,AverageRainingDays,fruitset,fruitmass,seeds
12.5,0.25,0.38,0.5,0.63,86,52,71.9,62,30,50.8,34,0.56,0.621810512,0.513585375,43.48453443
25,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.391964935,0.392668897,30.13586876
12.5,0.25,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.551234401,0.470846733,40.81318096
12.5,0.25,0.25,0.25,0.38,94.6,57.2,79,68.2,33,55.9,16,0.26,0.46274257,0.435203234,34.12272267
25,0.5,0.38,0.38,0.75,86,52,71.9,62,30,50.8,16,0.26,0.54725212,0.454160581,41.07457289
25,0.5,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.498952193,0.448647248,34.12153926
25,0.5,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.392540298,0.409862936,31.1279858
25,0.5,0.38,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.51884433,0.460322355,37.30376378
12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.488485703,0.442865602,35.89837298
12.5,0.25,0.38,0.5,0.75,94.6,57.2,79,68.2,33,55.9,24,0.39,0.564794821,0.48651762,39.7419306
12.5,0.25,0.25,0.63,0.75,86,52,71.9,62,30,50.8,34,0.56,0.476178181,0.434276914,34.33876109
12.5,0.25,0.25,0.25,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.429210588,0.391617371,31.39456852
12.5,0.25,0.38,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.615611893,0.51715975,42.93452098
12.5,0.25,0.25,0.38,0.38,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.52332906,0.449545727,36.09829713
25,0.5,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.421448998,0.409987805,31.67018669
25,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,24,0.39,0.391598449,0.402838656,31.13659362
12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,34,0.56,0.483249032,0.438875462,34.7014352
25,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.384646205,0.391617371,29.97539813
25,0.5,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.52950023,0.448597173,35.57209886
25,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.49739138,0.454160581,37.77937909
25,0.5,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.473458531,0.416537797,34.89511705
37.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,24,0.39,0.342841074,0.394971427,28.28286806
25,0.25,0.25,0.25,0.38,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.492545864,0.447536765,35.88401108
12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.538604193,0.463064582,39.05469186
25,0.5,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.517993775,0.463806532,37.55556802
12.5,0.25,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.527724447,0.46389552,37.72398079
37.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.406644523,0.407940293,30.54294428
25,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.404613294,0.401091418,32.70643359
12.5,0.25,0.25,0.25,0.38,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.456503309,0.435620773,34.15934595
12.5,0.25,0.25,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.596753394,0.495164177,41.33629767
25,0.5,0.25,0.75,0.75,86,52,71.9,62,30,50.8,34,0.56,0.408178454,0.403204844,30.90686128
25,0.5,0.25,0.5,0.5,86,52,71.9,62,30,50.8,24,0.39,0.617868887,0.501877874,43.95536146
25,0.5,0.25,0.75,0.63,86,52,71.9,62,30,50.8,24,0.39,0.593049003,0.492693356,41.93725753
12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.492545864,0.442693356,34.68661358
37.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.346410766,0.393118491,30.39027791
25,0.5,0.38,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.502842336,0.429376052,35.79113586
12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.534251703,0.467219599,37.96686445
25,0.5,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.553729922,0.467219599,38.74414374
12.5,0.25,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.572725923,0.488638858,40.0282126
12.5,0.25,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.435965493,0.417365455,35.93380223
25,0.5,0.25,0.5,0.75,86,52,71.9,62,30,50.8,34,0.56,0.489823352,0.427937649,34.13758465
12.5,0.25,0.25,0.5,0.63,86,52,71.9,62,30,50.8,1,0.1,0.595712725,0.490467439,41.50248162
25,0.5,0.25,0.63,0.75,86,52,71.9,62,30,50.8,24,0.39,0.46751899,0.429710486,33.71103509
25,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.425493214,0.383219703,29.83315835
12.5,0.25,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.595052932,0.494895461,41.54582317
12.5,0.25,0.38,0.5,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.509001253,0.450498441,36.92483932
25,0.5,0.38,0.5,0.5,86,52,71.9,62,30,50.8,16,0.26,0.527591617,0.45807618,36.82658691
25,0.5,0.25,0.5,0.63,86,52,71.9,62,30,50.8,16,0.26,0.496636394,0.446570029,35.49453443
12.5,0.25,0.25,0.5,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.572046486,0.48648622,39.09961353
25,0.5,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.504435443,0.440298814,34.3041215
12.5,0.25,0.38,0.5,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.577201619,0.481173502,40.55976952
12.5,0.25,0.25,0.25,0.63,86,52,71.9,62,30,50.8,24,0.39,0.507748656,0.450537939,36.16604354
25,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.566319234,0.463558518,37.87903588
25,0.5,0.38,0.38,0.75,86,52,71.9,62,30,50.8,24,0.39,0.4965362,0.445484498,35.8744954
25,0.5,0.38,0.63,0.5,86,52,71.9,62,30,50.8,16,0.26,0.433014308,0.4228466,33.11609108
25,0.5,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.575902218,0.486003684,40.33593654
25,0.5,0.25,0.38,0.63,86,52,71.9,62,30,50.8,1,0.1,0.462752296,0.433195442,34.76957798
12.5,0.25,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.46555863,0.407126353,32.62780351
25,0.5,0.25,0.5,0.63,86,52,71.9,62,30,50.8,16,0.26,0.335529768,0.37863215,28.76356526
25,0.5,0.38,0.38,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.432911682,0.403129918,31.90931611
25,0.5,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.47960301,0.430330293,33.08835541
25,0.5,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.385021951,0.400247657,30.66522059
25,0.5,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.531583632,0.460305334,37.67828481
25,0.5,0.25,0.63,0.5,86,52,71.9,62,30,50.8,24,0.39,0.566076664,0.479866804,39.92318644
25,0.5,0.38,0.5,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.490242145,0.448946243,35.6026819
12.5,0.25,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.632108665,0.50404651,43.2557857
25,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.419015102,0.41553133,31.67018669
25,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.498696418,0.42403139,34.89511705
12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.603524723,0.504716807,42.79905453
25,0.5,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.364880783,0.395636151,29.90851804
25,0.5,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.583077181,0.487772887,40.56148952
12.5,0.25,0.38,0.5,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.582482579,0.487056813,40.35118636
25,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.545094508,0.461277878,41.36494454
25,0.5,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.56581933,0.46389552,37.96686445
25,0.5,0.25,0.5,0.63,86,52,71.9,62,30,50.8,16,0.26,0.474162324,0.41009134,34.66891105
25,0.5,0.25,0.38,0.75,86,52,71.9,62,30,50.8,24,0.39,0.494906594,0.442789316,35.93380223
25,0.5,0.38,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.427977027,0.393418576,30.22351864
25,0.5,0.25,0.63,0.5,86,52,71.9,62,30,50.8,1,0.1,0.498657334,0.446912521,35.12446739
12.5,0.25,0.25,0.75,0.5,86,52,71.9,62,30,50.8,16,0.26,0.575902218,0.480779062,39.50571347
12.5,0.25,0.25,0.63,0.5,86,52,71.9,62,30,50.8,1,0.1,0.619006054,0.511116064,44.59947057
25,0.5,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.464365879,0.412661872,33.93441738
25,0.5,0.25,0.63,0.5,86,52,71.9,62,30,50.8,1,0.1,0.496618271,0.446434723,35.8744954
25,0.5,0.25,0.63,0.5,86,52,71.9,62,30,50.8,16,0.26,0.506742719,0.437062839,35.47352652
25,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.524563481,0.464066853,37.75813832
12.5,0.25,0.25,0.5,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.567958657,0.463020067,33.55926075
12.5,0.25,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.427978014,0.414710939,31.66522059
25,0.5,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.464411249,0.408038131,37.71251297
25,0.5,0.25,0.38,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.520180895,0.460795368,37.55556802
12.5,0.25,0.25,0.75,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.587319779,0.488059519,42.2784975
25,0.5,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.527591617,0.460369104,37.60167915
25,0.5,0.38,0.38,0.5,86,52,71.9,62,30,50.8,24,0.39,0.505120461,0.450692194,34.87061011
25,0.5,0.25,0.38,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.473458531,0.436345708,34.78105469
25,0.5,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.463097152,0.405898222,32.15868546
12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,1,0.1,0.564981991,0.462462315,37.80745277
12.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.535877448,0.430368732,35.18441169
12.5,0.25,0.25,0.38,0.5,86,52,71.9,62,30,50.8,16,0.26,0.566076664,0.48518887,40.45342047
12.5,0.25,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.642881721,0.532772006,46.13942523
12.5,0.25,0.38,0.38,0.75,86,52,71.9,62,30,50.8,16,0.26,0.612209289,0.504526655,42.13008169
25,0.5,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.538048419,0.465888285,37.71251297
25,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.492994856,0.432440021,32.70643359
12.5,0.25,0.38,0.38,0.5,86,52,71.9,62,30,50.8,1,0.1,0.652144089,0.535660479,46.36934409
12.5,0.25,0.38,0.38,0.5,86,52,71.9,62,30,50.8,1,0.1,0.612633396,0.503371107,42.40915749
25,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.590337413,0.491813116,41.6454264
12.5,0.25,0.25,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.55788532,0.468763134,38.61011529
25,0.5,0.38,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.476807761,0.419851618,34.02922281
25,0.5,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.599953146,0.495185183,41.71941614
12.5,0.25,0.25,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.502853154,0.429702536,35.11807556
12.5,0.25,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.58492102,0.446570029,36.31114278
37.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.455558339,0.403129918,36.54784977
25,0.5,0.25,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.518776342,0.456936833,36.3572405
25,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.346410766,0.388819023,28.45383631
12.5,0.25,0.25,0.63,0.5,86,52,71.9,62,30,50.8,16,0.26,0.542170237,0.467852649,38.45252155
20,18.43,0,0,0,86,52,71.9,62,30,50.8,34,0.56,0.559628479,0.364936839,27.10639138
12.5,0.25,0.38,0.63,0.5,94.6,57.2,79,68.2,33,55.9,34,0.56,0.529163709,0.443519907,35.93380223
12.5,0.25,0.38,0.5,0.63,86,52,71.9,62,30,50.8,16,0.26,0.608930974,0.502062222,42.16770498
12.5,0.25,0.25,0.25,0.63,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.553671368,0.470719472,38.38301202
25,0.5,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.429580755,0.422918386,33.22890035
25,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.573428227,0.493257523,40.35778147
25,0.25,0.25,0.25,0.5,86,52,71.9,62,30,50.8,24,0.39,0.335529768,0.388860282,28.87371362
12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,1,0.1,0.518626455,0.46389552,37.75813832
25,0.5,0.25,0.75,0.75,86,52,71.9,62,30,50.8,34,0.56,0.424574228,0.403129918,31.44841986
25,0.5,0.25,0.38,0.63,86,52,71.9,62,30,50.8,24,0.39,0.442693354,0.42726083,33.07391322
25,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.545094508,0.447095519,37.4186977
25,0.5,0.25,0.38,0.5,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.499992838,0.423763672,33.3406292
25,0.5,0.25,0.75,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.480386371,0.41390409,33.33119375
12.5,0.25,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.622419314,0.513585375,43.63998621
12.5,0.25,0.38,0.38,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.589306067,0.486816771,40.73826603
12.5,0.25,0.25,0.25,0.63,94.6,57.2,79,68.2,33,55.9,24,0.39,0.498952193,0.446570029,35.18441169
25,0.5,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.542133036,0.472979714,38.37855771
37.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.426173511,0.408451248,31.88184658
25,0.5,0.38,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.52380127,0.460369104,37.20955415
20,0,0.117,0.409,0.078,94.6,57.2,79,68.2,33,55.9,3.77,0.06,0.492076861,0.448400516,33.94201411
25,0.5,0.38,0.63,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.53434503,0.464066853,37.08458041
25,0.5,0.25,0.5,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.529511192,0.437517393,37.77154371
12.5,0.25,0.25,0.75,0.5,86,52,71.9,62,30,50.8,1,0.1,0.606612254,0.502786993,42.17176453
25,0.5,0.38,0.38,0.5,86,52,71.9,62,30,50.8,16,0.26,0.462013355,0.435203234,34.48550991
25,0.5,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.346410766,0.387580455,28.80786754
12.5,0.25,0.38,0.63,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.603371908,0.500653697,42.0271829
12.5,0.25,0.25,0.5,0.5,86,52,71.9,62,30,50.8,1,0.1,0.570329618,0.470846733,38.48035199
12.5,0.25,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.62809913,0.514790079,42.40950749
37.5,0.75,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.354413049,0.382702852,29.55021089
12.5,0.25,0.38,0.38,0.75,86,52,71.9,62,30,50.8,1,0.1,0.627857666,0.520974303,44.62396561
25,0.5,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.48180056,0.43491928,32.84923819
25,0.5,0.38,0.38,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.509001253,0.460627726,34.33152565
37.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.283055065,0.381078645,29.31600198
12.5,0.25,0.25,0.63,0.63,94.6,57.2,79,68.2,33,55.9,34,0.56,0.51175153,0.453507667,36.31114278
25,0.5,0.25,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.570329618,0.462760521,37.60167915
12.5,0.25,0.25,0.5,0.75,86,52,71.9,62,30,50.8,16,0.26,0.595052932,0.497740882,41.54582317
25,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.498696418,0.431201835,35.73169085
25,0.5,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.383786508,0.40383899,31.10924166
12.5,0.25,0.25,0.38,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.560709036,0.475184735,38.4173944
12.5,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,24,0.39,0.386657299,0.399983862,30.54630597
25,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,16,0.26,0.508675267,0.450886886,36.62496616
12.5,0.25,0.25,0.5,0.5,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.538604193,0.442865602,35.18441169
12.5,0.25,0.25,0.63,0.75,86,52,71.9,62,30,50.8,1,0.1,0.612633396,0.502786993,42.17176453
25,0.5,0.38,0.5,0.5,86,52,71.9,62,30,50.8,16,0.26,0.525063322,0.459224426,36.83081961
12.5,0.25,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.519208599,0.432226587,42.13008169
25,0.5,0.25,0.63,0.75,86,52,71.9,62,30,50.8,24,0.39,0.379908358,0.381851426,29.90851804
25,0.5,0.25,0.63,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.623063206,0.514790079,43.95536146
12.5,0.25,0.25,0.25,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.613333283,0.504056677,42.40766225
12.5,0.25,0.25,0.25,0.75,94.6,57.2,79,68.2,33,55.9,1,0.1,0.586602539,0.484307576,40.39944387
12.5,0.25,0.25,0.25,0.25,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.470593127,0.430330293,33.29902167
12.5,0.25,0.25,0.38,0.38,86,52,71.9,62,30,50.8,24,0.39,0.447668818,0.423013398,33.08835541
12.5,0.25,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.582954458,0.493257523,41.61500537
25,0.5,0.38,0.5,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.536209474,0.462760521,37.78237359
12.5,0.25,0.38,0.38,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.586303901,0.495006371,41.21921269
12.5,0.25,0.38,0.5,0.5,94.6,57.2,79,68.2,33,55.9,16,0.26,0.595065655,0.495006371,41.71941614
25,0.5,0.38,0.63,0.5,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.548367299,0.445071322,36.68541263
12.5,0.25,0.25,0.38,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.545094508,0.468493268,38.38162699
25,0.5,0.25,0.75,0.5,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.521119725,0.463502091,37.77154371
25,0.5,0.25,0.63,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.384981338,0.399172403,29.13659362
12.5,0.25,0.25,0.25,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.543968929,0.446570029,37.33661139
12.5,0.25,0.25,0.25,0.63,86,52,71.9,62,30,50.8,1,0.1,0.578889093,0.488615886,40.54647951
25,0.5,0.25,0.63,0.75,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.429000524,0.404796043,31.92881551
12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,16,0.26,0.582604099,0.486112101,40.22738685
12.5,0.25,0.38,0.5,0.63,77.4,46.8,64.7,55.8,27,45.8,1,0.1,0.617635584,0.513171554,43.67027165
12.5,0.25,0.25,0.5,0.75,86,52,71.9,62,30,50.8,1,0.1,0.596753394,0.495898084,41.17620131
25,0.5,0.25,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.432419853,0.391524096,32.81456057
25,0.5,0.25,0.5,0.63,86,52,71.9,62,30,50.8,16,0.26,0.508341786,0.451905492,36.84586824
12.5,0.25,0.38,0.5,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.315500071,0.376880162,28.88711983
12.5,0.25,0.25,0.25,0.38,94.6,57.2,79,68.2,33,55.9,16,0.26,0.633144179,0.513260507,44.78112742
12.5,0.25,0.25,0.5,0.63,86,52,71.9,62,30,50.8,1,0.1,0.608455265,0.502418156,42.1419027
12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,16,0.26,0.547283352,0.471665153,38.6254357
12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,24,0.39,0.547283352,0.464165541,37.67828481
12.5,0.25,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.520592483,0.432754792,35.40935334
25,0.5,0.25,0.38,0.63,86,52,71.9,62,30,50.8,34,0.56,0.403217329,0.393418576,30.68558673
25,0.5,0.38,0.63,0.5,86,52,71.9,62,30,50.8,16,0.26,0.49368953,0.457845739,36.09379556
25,0.5,0.25,0.63,0.63,86,52,71.9,62,30,50.8,16,0.26,0.561962455,0.471828735,39.62163586
12.5,0.25,0.25,0.25,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.478469338,0.409260571,32.5102476
25,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.479635585,0.417947008,33.12590428
12.5,0.25,0.38,0.38,0.5,86,52,71.9,62,30,50.8,34,0.56,0.534251703,0.463502091,43.95536146
25,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,24,0.39,0.517723246,0.438095887,36.46620322
25,0.5,0.25,0.63,0.75,94.6,57.2,79,68.2,33,55.9,16,0.26,0.583378727,0.484307576,40.26540842
25,0.5,0.25,0.75,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.520637077,0.418732102,36.95787336
25,0.5,0.25,0.5,0.5,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.466297848,0.434276914,34.64257354
12.5,0.25,0.25,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.600086778,0.497978979,41.17642111
12.5,0.25,0.25,0.5,0.75,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.474162324,0.437265704,34.5553911
12.5,0.25,0.25,0.25,0.38,86,52,71.9,62,30,50.8,24,0.39,0.456503309,0.426746554,33.26713681
25,0.5,0.38,0.5,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.632108665,0.504526655,42.33928002
25,0.5,0.38,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.494677622,0.424902006,35.17991165
12.5,0.25,0.25,0.25,0.25,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.394441163,0.402362581,31.67889844
25,0.5,0.25,0.38,0.5,86,52,71.9,62,30,50.8,34,0.56,0.396218446,0.409269062,30.80685608
12.5,0.25,0.25,0.75,0.63,86,52,71.9,62,30,50.8,24,0.39,0.597060641,0.497978979,41.54582317
37.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,34,0.56,0.447040787,0.426380104,33.23980604
25,0.5,0.38,0.38,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.469631675,0.415270878,33.87425241
25,0.5,0.25,0.75,0.75,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.385021951,0.394168935,30.79835142
12.5,0.25,0.38,0.38,0.5,94.6,57.2,79,68.2,33,55.9,1,0.1,0.579981861,0.483787993,39.44864975
25,0.5,0.25,0.75,0.63,94.6,57.2,79,68.2,33,55.9,16,0.26,0.566076664,0.486368192,40.46181948
25,0.5,0.25,0.63,0.63,69.7,42.1,58.2,50.2,24.3,41.2,34,0.56,0.527742687,0.432722017,35.97225667
12.5,0.25,0.38,0.38,0.5,86,52,71.9,62,30,50.8,1,0.1,0.627857666,0.520974303,44.62396561
25,0.5,0.25,0.5,0.75,86,52,71.9,62,30,50.8,34,0.56,0.460205797,0.428903862,33.94201411
25,0.5,0.38,0.5,0.5,94.6,57.2,79,68.2,33,55.9,24,0.39,0.564794821,0.460369104,37.38218685
25,0.5,0.38,0.63,0.5,77.4,46.8,64.7,55.8,27,45.8,34,0.56,0.492809568,0.448972519,35.62231346
12.5,0.25,0.38,0.63,0.63,77.4,46.8,64.7,55.8,27,45.8,24,0.39,0.621376432,0.513585375,43.65957738
12.5,0.25,0.25,0.25,0.25,94.6,57.2,79,68.2,33,55.9,34,0.56,0.436893878,0.420598245,31.67018669
25,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,1,0.1,0.44371199,0.394915268,32.69048728
12.5,0.25,0.25,0.63,0.63,86,52,71.9,62,30,50.8,34,0.56,0.32833671,0.377011619,28.13589892
37.5,0.25,0.25,0.25,0.25,86,52,71.9,62,30,50.8,24,0.39,0.476202171,0.416537797,33.95797729
25,0.5,0.25,0.38,0.63,69.7,42.1,58.2,50.2,24.3,41.2,16,0.26,0.47771355,0.424609234,34.83881461
25,0.5,0.38,0.5,0.63,94.6,57.2,79,68.2,33,55.9,1,0.1,0.641480254,0.528322189,45.07802445
